"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","平成30年(2018)","令和元年(2019)","経度","緯度","分類"
"46","302015","和歌山(県)5-5","地価調査","商業","和歌山市","舟大工町６番外","","135.169150","34.234700","878000","737000","630000","535000","460000","396000","341000","301000","271000","245000","227000","203000","188000","178000","173000","171000","166000","159000","150000","144000","140000","137000","136000","135000","135000","135000","135000","135.169150000008","34.2346999999999","令和元年地価調査基準地"
"47","302015","和歌山(県)5-6","地価調査","商業","和歌山市","広瀬通丁２丁目１番","","135.180870","34.226540","614000","540000","445000","374000","322000","286000","260000","230000","202000","180000","167000","155000","143000","140000","139000","137000","135000","131000","129000","126000","124000","124000","124000","124000","124000","124000","124000","135.180870000002","34.2265399999962","令和元年地価調査基準地"
"298","302015","和歌山(県)5-7","地価調査","商業","和歌山市","川辺字神ノ木１９３番１外","","135.265320","34.260160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48300","47000","46400","46400","46500","46500","46500","46500","135.265320000003","34.2601600000004","令和元年地価調査基準地"
"49","302015","和歌山(県)5-8","地価調査","商業","和歌山市","太田２丁目１３番８","太田２－１３－１２","135.195020","34.232140","0","0","650000","552000","475000","400000","345000","310000","290000","270000","248000","220000","205000","198000","198000","200000","197000","195000","193000","187000","186000","186000","187000","188000","189000","190000","191000","135.195020000003","34.2321399999969","令和元年地価調査基準地"
"50","302015","和歌山(県)5-9","地価調査","商業","和歌山市","東長町５丁目３７番","","135.165460","34.225410","688000","605000","502000","427000","376000","338000","303000","275000","238000","209000","183000","167000","153000","149000","148000","148000","146000","143000","139000","136000","134000","135000","136000","136000","136000","136000","136000","135.165460000006","34.2254100000002","令和元年地価調査基準地"
"51","302015","和歌山(県)5-10","地価調査","商業","和歌山市","本町３丁目２９番１外","","135.174670","34.235310","1100000","1010000","868000","739000","620000","520000","458000","405000","324000","275000","240000","205000","190000","180000","174000","175000","170000","164000","156000","152000","144000","140000","138000","139000","139000","140000","141000","135.174670000004","34.2353099999973","令和元年地価調査基準地"
"292","302015","和歌山(県)5-11","地価調査","商業","和歌山市","北野字古屋４０９番２外","","135.247250","34.269080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69000","67000","62600","58500","55500","53600","53500","53400","53400","53400","135.247250000004","34.2690799999977","令和元年地価調査基準地"
"59","302015","和歌山(県)5-12","地価調査","商業","和歌山市","次郎丸字塩ノ口８４番４","","135.148040","34.254190","0","0","0","0","0","0","0","0","0","126000","117000","108000","99700","94700","91100","91000","89500","85800","82200","80000","77700","76200","75000","73900","73000","72800","72600","135.14804","34.2541899999983","令和元年地価調査基準地"
"60","302015","和歌山(県)5-13","地価調査","商業","和歌山市","島橋東ノ丁２６７番８外","島橋東ノ丁１－４７","135.151250","34.243620","0","0","0","0","0","0","0","0","0","143000","134000","124000","115000","109000","105000","104000","102000","96900","93000","90500","88100","86300","85200","84200","83300","82500","81900","135.15125","34.2436199999986","令和元年地価調査基準地"
"55","302015","和歌山(県)5-14","地価調査","商業","和歌山市","美園町５丁目３番６","","135.189720","34.230530","1120000","997000","847000","715000","625000","535000","465000","410000","365000","325000","290000","255000","230000","217000","217000","220000","217000","210000","202000","196000","191000","191000","191000","193000","195000","195000","196000","135.189720000002","34.230529999997","令和元年地価調査基準地"
"56","302015","和歌山(県)5-15*","地価調査","商業","和歌山市","中之島字西垣内６７３番９外","","135.180300","34.239570","445000","400000","358000","300000","264000","224000","201000","183000","172000","162000","149000","140000","131000","127000","127000","127000","123000","118000","114000","111000","109000","109000","109000","110000","110000","110000","111000","135.180300000003","34.2395699999974","令和元年地価調査基準地"
"57","302015","和歌山(県)5-16","地価調査","商業","和歌山市","新内字友田５番","","135.184320","34.233560","820000","743000","638000","538000","460000","410000","357000","316000","275000","245000","220000","200000","183000","170000","164000","165000","160000","154000","148000","145000","142000","142000","142000","142000","142000","142000","143000","135.184320000003","34.2335599999969","令和元年地価調査基準地"
"61","302015","和歌山(県)5-17","地価調査","商業","和歌山市","小雑賀３丁目１４０番１６","小雑賀３－５－３１","135.185020","34.211070","0","0","0","0","0","0","0","0","0","180000","160000","146000","135000","130000","132000","133000","131000","128000","125000","123000","122000","122000","123000","124000","125000","125000","125000","135.185020000002","34.2110699999975","令和元年地価調査基準地"
"65","302015","和歌山(県)9-1","地価調査","工業","和歌山市","宇須４丁目１７８番５","宇須４－４－９","135.177500","34.209010","119000","118000","116000","110000","105000","99000","93000","89200","80000","72000","64000","57500","52900","48700","46000","43500","41000","38900","36900","34600","32500","30600","29400","28400","27600","27000","26600","135.177500000002","34.2090099999982","令和元年地価調査基準地"
"313","302015","和歌山(県)9-2","地価調査","工業","和歌山市","西浜字中川向ノ坪１６６０番７７外","","135.151770","34.204960","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25000","24500","24000","23600","23300","135.151770000004","34.2049599999989","令和元年地価調査基準地"
"70","302023","海南(県)-1","地価調査","住宅","海南市","黒江字室山１番６０","","135.208520","34.169800","143000","143000","140000","139000","138000","137000","134000","131000","127000","121000","112000","104000","96000","89000","84500","81500","78500","75300","72300","70000","67500","65300","63200","61400","60200","59200","58500","135.208520000004","34.1697999999958","令和元年地価調査基準地"
"71","302023","海南(県)-2","地価調査","住宅","海南市","日方字新濵１２７２番６３","","135.207820","34.156920","167000","167000","163000","160000","158000","156000","153000","149000","144000","137000","127000","118000","109000","101000","95000","91800","88500","85000","79900","75100","70500","67000","64300","62000","60700","59200","57700","135.207820000005","34.1569199999955","令和元年地価調査基準地"
"78","302023","海南(県)-3","地価調査","住宅","海南市","下津町中字横手６７番１","","135.177470","34.125480","48700","48700","48700","48700","48700","48700","48400","48200","48000","47000","45000","43300","41700","40200","38900","37800","36600","35400","34000","32600","31300","30500","29800","29100","28500","27900","27400","135.177470000003","34.1254799999962","令和元年地価調査基準地"
"73","302023","海南(県)-4","地価調査","住宅","海南市","名高字赤倉３６９番１","","135.213430","34.150350","98600","98600","97000","96000","96000","96000","95000","94000","93000","87500","82000","77000","71600","66600","63500","60800","58400","56000","50400","48400","46400","44500","42800","41200","40200","39100","38100","135.213430000005","34.150349999996","令和元年地価調査基準地"
"74","302023","海南(県)-5","地価調査","住宅","海南市","阪井字高畑ヶ１５４６番３","","135.272490","34.159720","64000","64000","63500","63000","63000","62700","62300","61600","60900","58300","55500","52900","49700","47000","45300","43700","42500","41000","39700","38300","38000","37800","37300","37000","36800","36600","36500","135.272490000004","34.1597199999983","令和元年地価調査基準地"
"75","302023","海南(県)-6","地価調査","住宅","海南市","井田字大坪１５３番４","","135.223130","34.159470","115000","115000","115000","114000","113000","112000","111000","109000","106000","102000","95000","88500","81500","76000","72300","70300","68700","66500","65300","63600","62900","61000","59400","58000","56700","55900","55200","135.223130000005","34.1594699999947","令和元年地価調査基準地"
"76","302023","海南(県)-7","地価調査","住宅","海南市","原野字東原ノ代３５２番１","","135.297950","34.182380","0","0","0","0","0","0","0","0","0","0","0","26900","25300","24000","23100","22300","21700","21100","20500","19800","19400","19000","18500","18100","17800","17500","17200","135.297950000005","34.1823799999971","令和元年地価調査基準地"
"80","302023","海南(県)-8","地価調査","住宅","海南市","下津町丸田字佃１２８番４","","135.157110","34.127210","93000","92000","91800","91300","90800","90400","89000","88000","87000","84500","81000","77700","74500","69500","66300","63900","61600","59400","57000","55300","53500","51800","50200","48700","47300","46000","44800","135.157110000005","34.127209999996","令和元年地価調査基準地"
"326","302023","海南(県)5-1","地価調査","商業","海南市","重根字西垣内１１番１外","","135.238882","34.153431","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64700","135.238881700002","34.1534309999974","令和元年地価調査基準地"
"82","302023","海南(県)5-2","地価調査","商業","海南市","船尾字東濱１８６番５６","","135.207350","34.158420","0","0","240000","235000","226000","215000","202000","190000","175000","158000","140000","129000","119000","110000","104000","99300","95200","91000","81000","73700","70000","69200","67600","66000","64700","63000","61400","135.207350000005","34.1584199999957","令和元年地価調査基準地"
"84","302023","海南(県)9-1","地価調査","工業","海南市","日方字新濵１２９４番２１","","135.202280","34.153180","85000","85000","82000","78500","75500","72000","69000","67000","65200","62400","57000","53000","49000","45500","43300","41800","38500","35400","32500","29800","27300","25200","23800","22900","22300","22300","22300","135.202280000004","34.1531799999954","令和元年地価調査基準地"
"85","302031","橋本(県)-1","地価調査","住宅","橋本市","隅田町中島字野元３２２番４","","135.645800","34.331400","80800","80800","80000","79500","79000","77500","75500","74000","69500","65000","59000","54000","49000","45200","43000","42100","40700","38700","37000","35000","33000","31800","30800","29900","29000","28400","28000","135.645800000004","34.3313999999991","令和元年地価調査基準地"
"86","302031","橋本(県)-2","地価調査","住宅","橋本市","胡麻生字向山６９３番１２","","135.611200","34.339310","0","0","0","0","0","0","100000","96000","88000","78000","68000","61500","55000","51100","48800","48300","46500","44000","41800","40200","38400","37100","36000","35000","34300","33700","33300","135.611200000003","34.3393099999973","令和元年地価調査基準地"
"87","302031","橋本(県)-3","地価調査","住宅","橋本市","小峰台１丁目１９番１７","","135.623660","34.350630","0","101000","100000","99000","98500","97500","92000","88000","81000","71000","61500","55800","50200","47700","46100","45600","44000","42000","40100","38500","37100","36000","35000","34100","33400","32700","32100","135.623660000005","34.3506299999984","令和元年地価調査基準地"
"88","302031","橋本(県)-4","地価調査","住宅","橋本市","高野口町大野字上知山８２４番１２内","","135.554020","34.308750","67500","67500","67500","66500","65200","64500","61000","59000","56500","51000","47000","44000","41000","39000","37600","36800","35500","33500","31500","29500","27600","26500","25700","25000","24300","24000","23700","135.554020000002","34.3087499999976","令和元年地価調査基準地"
"89","302031","橋本(県)-5","地価調査","住宅","橋本市","三石台３丁目９番２","","135.600560","34.356280","159000","159000","156000","152000","148000","145000","140000","133000","121000","110000","97000","91000","81000","78200","78200","78200","77000","74600","71600","70500","69700","69000","68500","68200","68000","67800","67600","135.600560000003","34.3562799999964","令和元年地価調査基準地"
"94","302031","橋本(県)-6","地価調査","住宅","橋本市","高野口町名古曽字竹鼻８２３番３","","135.561910","34.305030","87000","87000","86000","85000","83500","82000","79000","76200","72500","68000","61000","56000","50500","44400","43000","42000","40500","38500","36500","34600","32600","31400","30600","29900","29300","28900","28500","135.561910000001","34.3050299999972","令和元年地価調査基準地"
"91","302031","橋本(県)-7","地価調査","住宅","橋本市","南馬場字西ヶ瀬９０４番１９","","135.587970","34.303140","0","0","85000","84500","84000","82000","79500","77200","70000","65000","58700","54500","49700","46200","45000","44500","43000","41000","39000","37100","35000","33800","33100","32500","32000","31300","30600","135.587970000008","34.3031399999984","令和元年地価調査基準地"
"314","302031","橋本(県)-8","地価調査","住宅","橋本市","恋野字中切２２９６番１","","135.660210","34.322710","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15500","15300","15000","14800","14600","135.660210000004","34.3227099999983","令和元年地価調査基準地"
"97","302031","橋本(県)5-1","地価調査","商業","橋本市","東家６丁目３３８番５","東家６－１－１","135.605070","34.314070","0","0","0","0","0","0","0","0","0","0","0","162000","147000","134000","127000","124000","120000","114000","108000","102000","97100","94000","91400","89100","87100","85600","84300","135.605070000004","34.3140699999962","令和元年地価調査基準地"
"98","302031","橋本(県)5-2","地価調査","商業","橋本市","隅田町中島字宮ノ前１１９番６","","135.648320","34.329010","147000","147000","141000","138000","135000","129000","122000","116000","108000","99000","89500","80600","72600","68200","66000","65000","62500","59000","55500","52200","51200","50700","50000","49500","49000","48500","48200","135.648320000004","34.3290099999994","令和元年地価調査基準地"
"99","302031","橋本(県)5-3","地価調査","商業","橋本市","高野口町名倉字東大木芝１７９番１","","135.555540","34.302860","210000","205000","196000","190000","185000","175000","165000","156000","141000","123000","108000","93000","79000","66500","63500","62200","60000","57000","53600","50400","47300","45400","44000","42700","41500","40600","39800","135.555540000002","34.3028599999979","令和元年地価調査基準地"
"100","302031","橋本(県)9-1","地価調査","工業","橋本市","神野々字西石畑１１８２番外","","135.578360","34.302000","75000","74300","72000","71000","70600","67500","65000","62500","58000","54500","49000","45000","40500","36400","33800","33000","31700","30000","28200","27300","26400","25800","25300","24900","24600","24400","24200","135.57836000001","34.302","令和元年地価調査基準地"
"101","302040","有田(県)-1","地価調査","住宅","有田市","辻堂字中筋５７４番１","","135.146980","34.075450","75000","75000","75000","75000","75000","74500","72500","71000","69300","66600","63900","61500","59300","57300","56400","55000","52800","50400","47900","46000","42500","40700","40000","39600","39300","39000","38800","135.146980000006","34.0754499999963","令和元年地価調査基準地"
"102","302040","有田(県)-2","地価調査","住宅","有田市","糸我町中番字上高井３４６番４","","135.174420","34.068370","52000","52000","52000","52000","52000","52000","51500","51000","50500","49500","48500","46600","45000","43500","42600","41300","39200","37200","35200","34000","32000","30700","29500","28900","28500","28100","27600","135.174420000005","34.0683699999949","令和元年地価調査基準地"
"103","302040","有田(県)-3","地価調査","住宅","有田市","宮原町滝川原字神上２９番５","","135.171570","34.081260","65500","65500","65500","65500","65500","65500","64500","63700","62600","61300","60100","58000","56000","54000","52900","51300","48700","46200","43000","40500","38700","37500","36000","34700","33700","32900","32200","135.171570000004","34.0812599999961","令和元年地価調査基準地"
"104","302040","有田(県)-4","地価調査","住宅","有田市","港町字葭原７９３番４６","","135.103820","34.087580","64000","64000","64000","64000","64000","63500","62500","61500","60200","58700","57200","55800","53600","51500","50500","49100","47100","44800","42600","40000","38000","36100","34000","31900","30000","28900","27900","135.103820000006","34.0875799999975","令和元年地価調査基準地"
"105","302040","有田(県)5-1","地価調査","商業","有田市","箕島字川田２０番５","","135.122480","34.083850","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84200","76500","68800","64000","60000","55900","53000","50600","48800","47100","45500","135.122480000006","34.0838499999974","令和元年地価調査基準地"
"107","302058","御坊(県)-1","地価調査","住宅","御坊市","名田町野島字前畑１５７６番外","","135.171480","33.843350","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32200","31000","29900","28700","27600","26700","25800","25100","24500","24000","23500","23100","135.171480000004","33.8433499999991","令和元年地価調査基準地"
"111","302058","御坊(県)-2","地価調査","住宅","御坊市","湯川町財部字薮田５０４番１外","","135.151020","33.901430","71000","71000","71000","70200","70000","69700","68800","68300","67900","66800","65400","64000","61800","59300","56600","54500","51000","47700","44200","41800","39700","38100","36900","35800","35000","34300","33600","135.151020000004","33.901429999997","令和元年地価調査基準地"
"109","302058","御坊(県)-3","地価調査","住宅","御坊市","塩屋町北塩屋字峠６３６番４","","135.163940","33.877050","47500","47500","47500","47300","47300","47300","47100","47000","46900","46500","46000","45300","44500","43500","42400","41400","39500","37500","35500","33700","32100","30700","29500","28800","28200","27700","27200","135.163940000003","33.8770499999986","令和元年地価調査基準地"
"110","302058","御坊(県)-4","地価調査","住宅","御坊市","藤田町吉田字砂窪２８４番１０","","135.168570","33.904310","0","57000","57000","56400","56300","56200","56000","56000","55900","54800","53600","52400","51000","49400","47500","46000","43500","41100","38600","36600","34800","33400","32200","31200","30500","29900","29400","135.168570000004","33.9043099999968","令和元年地価調査基準地"
"112","302058","御坊(県)5-1","地価調査","商業","御坊市","薗字野田９７番１外","","135.153230","33.896020","169000","163000","158000","154000","151000","148000","141000","135000","130000","125000","117000","110000","104000","97600","88000","82700","77700","73000","67000","62500","58800","56000","53500","51700","50500","49500","48500","135.153230000005","33.8960199999966","令和元年地価調査基準地"
"113","302058","御坊(県)9-1","地価調査","工業","御坊市","名屋字川端１７６番４","","135.155500","33.881550","71400","71400","70500","69800","69500","69300","68000","67500","67000","65500","61500","57800","53100","48700","43500","40000","35000","32300","29000","26500","25000","23700","22600","21800","21000","20300","19700","135.155500000005","33.881549999997","令和元年地価調査基準地"
"114","302066","田辺(県)-1","地価調査","住宅","田辺市","東山２丁目８２６番８８","東山２－２１－１８","135.394280","33.723600","0","0","0","0","0","0","0","0","0","0","80000","77600","74500","72600","70800","69100","67000","64500","61900","59000","57600","57600","57600","57600","58000","58500","59000","135.394280000004","33.7235999999995","令和元年地価調査基準地"
"303","302066","田辺(県)-2","地価調査","住宅","田辺市","上秋津字中代１９８９番１８","","135.406430","33.756010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53000","52000","51800","51600","51600","51200","51000","135.406430000004","33.7560099999996","令和元年地価調査基準地"
"116","302066","田辺(県)-3","地価調査","住宅","田辺市","明洋２丁目３９８１番５４","明洋２－６－１８","135.361770","33.741920","77000","77000","77000","77000","77000","76000","72800","68500","66500","63900","61200","58500","55900","54000","52200","50600","48800","47200","45300","43500","42700","46000","47000","48500","50000","50000","50000","135.361770000007","33.7419199999975","令和元年地価調査基準地"
"117","302066","田辺(県)-4","地価調査","住宅","田辺市","上屋敷２丁目１１６番３２","上屋敷２－１１－５２","135.376230","33.729420","170000","170000","165000","160000","158000","154000","147000","138000","134000","128000","120000","111000","101000","94000","88000","82700","77300","72000","67700","62500","58000","55000","53000","51500","50400","49800","49500","135.376230000006","33.729419999998","令和元年地価調査基準地"
"327","302066","田辺(県)-5","地価調査","住宅","田辺市","龍神村西字林６５番","","135.487582","33.892947","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7840","135.487582300001","33.8929474699989","令和元年地価調査基準地"
"128","302066","田辺(県)-6","地価調査","住宅","田辺市","中辺路町近露字北野９４７番","","135.607600","33.814870","0","0","0","0","14000","13800","13000","12800","12600","12200","11800","11300","10800","10300","10000","9700","9500","9300","9000","8690","8400","8250","8250","8220","8190","8190","8150","135.607600000008","33.8148699999949","令和元年地価調査基準地"
"120","302066","田辺(県)-7*","地価調査","住宅","田辺市","南新万１１２５番６４","南新万２－６","135.392950","33.730990","0","110000","112000","114000","115000","115000","113000","110000","107000","103000","102000","100000","98800","95800","92900","89500","86000","82100","78300","78300","82000","90800","99800","104000","106000","107000","108000","135.392950000005","33.7309899999999","令和元年地価調査基準地"
"129","302066","田辺(県)-8","地価調査","住宅","田辺市","鮎川字下附５１９番１３","","135.481460","33.727260","0","0","0","0","0","0","0","0","0","28000","27700","27200","26700","26200","25700","25000","24300","23400","22400","21300","20400","19900","19500","19200","18900","18500","18200","135.481460000006","33.7272599999991","令和元年地価調査基準地"
"122","302066","田辺(県)-9","地価調査","住宅","田辺市","中芳養字嶋之谷１７５７番","","135.353130","33.778380","30000","30000","30000","30000","30000","30000","29400","29000","28500","28000","27500","26900","26300","25700","25200","24500","23800","22800","21700","20600","20000","19500","19000","18500","18200","18000","17800","135.353130000007","33.7783799999974","令和元年地価調査基準地"
"126","302066","田辺(県)-10","地価調査","住宅","田辺市","中辺路町栗栖川字神田３３８番３","","135.517370","33.790040","0","0","0","0","0","0","0","0","0","0","27000","26000","25000","24100","23000","22000","21400","20800","20000","19300","18700","18300","18000","17800","17500","17200","16900","135.517370000005","33.7900399999991","令和元年地価調査基準地"
"127","302066","田辺(県)-11","地価調査","住宅","田辺市","本宮町伏拝字日浦１０２１番４","","135.758160","33.867910","17700","17700","17700","17700","17700","17500","17300","17300","16900","16700","16500","16100","15900","15500","15000","14500","14000","13500","13000","12300","11900","11500","11200","11000","10700","10400","10100","135.758160000004","33.8679099999958","令和元年地価調査基準地"
"304","302066","田辺(県)5-1","地価調査","商業","田辺市","下万呂字裏代３６３番１外","","135.395340","33.737820","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87000","85000","84500","84300","84100","83900","83700","135.395340000005","33.7378199999997","令和元年地価調査基準地"
"133","302066","田辺(県)5-2","地価調査","商業","田辺市","上の山２丁目１１４９番１１","上の山２－１５－１９","135.362530","33.734950","120000","120000","119000","118000","118000","116000","108000","101000","97000","91000","85200","81000","77000","73400","70800","67000","63300","59500","55500","51700","49500","47800","46800","46000","45500","45000","44800","135.362530000006","33.7349499999973","令和元年地価調査基準地"
"134","302066","田辺(県)5-3","地価調査","商業","田辺市","宝来町８１４番２","宝来町１４－２４","135.388330","33.732170","0","0","0","0","0","0","0","0","0","175000","156000","141000","128000","119000","112000","103000","92700","85300","78500","75400","73800","73500","73300","73200","73100","73000","72900","135.388330000004","33.7321699999998","令和元年地価調査基準地"
"305","302066","田辺(県)9-1","地価調査","工業","田辺市","下三栖字岩屋谷１４７５番９７外","","135.421420","33.726450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15400","14500","14000","13600","13400","13200","13200","135.421420000004","33.7264500000002","令和元年地価調査基準地"
"137","302074","新宮(県)-1","地価調査","住宅","新宮市","池田２丁目１番１１","池田２－１－１０","135.995460","33.728160","121000","121000","120000","120000","120000","117000","113000","106000","100000","96000","91500","88000","85000","81700","78800","76200","73600","71000","66000","61300","58300","56100","54500","52900","51400","50000","49500","135.995460000005","33.7281600000028","令和元年地価調査基準地"
"138","302074","新宮(県)-2","地価調査","住宅","新宮市","橋本２丁目３９３９番１０","橋本２－１２－１９","135.990050","33.715840","80000","80000","80000","80000","80000","79000","78200","75900","74500","73500","72400","70900","69600","67100","65000","63000","60600","58800","54500","50600","48000","46800","45800","44900","44100","43400","43000","135.990050000004","33.7158400000018","令和元年地価調査基準地"
"139","302074","新宮(県)-3","地価調査","住宅","新宮市","佐野１丁目１３９番２外","佐野１－６－１７","135.975340","33.682070","68700","68700","68700","68700","68700","68000","67500","65600","64400","63400","62300","61000","59900","58400","57000","55900","54100","52400","51000","48200","46700","45800","44800","43900","43100","42600","42100","135.975340000005","33.682069999999","令和元年地価調査基準地"
"140","302074","新宮(県)-4","地価調査","住宅","新宮市","新宮字松山４６４３番７４","","135.995740","33.712650","61600","61600","61600","61600","61600","61000","60400","59800","59200","58600","57500","56500","55700","55100","54000","53000","51300","49800","47000","46500","46500","46500","46500","46500","46500","46500","46500","135.995740000005","33.7126500000018","令和元年地価調査基準地"
"141","302074","新宮(県)-5","地価調査","住宅","新宮市","熊野川町西敷屋字内ノ井９７２番３","","135.807250","33.848460","10500","10300","10300","10300","10300","10100","10100","10100","9900","9800","9600","9300","9100","8900","8600","8300","8100","7800","7400","6800","6300","6100","5900","5710","5550","5450","5350","135.807250000005","33.8484599999991","令和元年地価調査基準地"
"325","302074","新宮(県)5-1","地価調査","商業","新宮市","新宮市千穂１丁目８３３番３外","千穂１－１－４５","135.986408","33.725484","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69700","69000","135.986408000004","33.7254840000023","令和元年地価調査基準地"
"328","302074","新宮(県)5-2","地価調査","商業","新宮市","新宮字上熊野７６４０番４内","","135.992633","33.727011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60000","135.992633400005","33.7270113900026","令和元年地価調査基準地"
"319","302074","新宮(県)5-3","地価調査","商業","新宮市","佐野字根地原９７５番５外","","135.971222","33.684259","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44500","44500","44200","44000","135.971222000005","33.6842589999981","令和元年地価調査基準地"
"306","302074","新宮(県)9-1","地価調査","工業","新宮市","あけぼの５５３２番１３８外","あけぼの５－５３","136.006570","33.724370","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","19300","18700","18200","17800","17600","17400","136.006570000003","33.7243700000011","令和元年地価調査基準地"
"157","302082","紀の川(県)-1","地価調査","住宅","紀の川市","貴志川町井ノ口字中ノ場２６１番２","","135.318620","34.208040","51000","51000","50500","49500","49500","48500","46500","44600","43000","41200","38300","35600","33100","31500","30300","28700","27300","25500","23600","22300","21100","19900","18800","18100","17600","17400","17200","135.318620000007","34.2080399999969","令和元年地価調査基準地"
"148","302082","紀の川(県)-2","地価調査","住宅","紀の川市","中三谷字西大道下８９番１外","","135.341430","34.273590","46600","46600","46600","45400","44700","44500","42500","41300","40000","38200","35900","33500","30800","29600","28500","27600","25700","24100","22500","21800","21000","20400","20000","19600","19200","18900","18600","135.341430000004","34.2735899999982","令和元年地価調査基準地"
"149","302082","紀の川(県)-3","地価調査","住宅","紀の川市","花野字宮脇９２番３０","","135.357510","34.258960","94000","94000","91000","87000","85000","82500","77000","72500","67800","62600","57300","53300","49000","46100","44300","42700","40000","37600","35500","34700","33500","32200","31500","31000","30500","30200","30000","135.357510000003","34.2589599999966","令和元年地価調査基準地"
"150","302082","紀の川(県)-4","地価調査","住宅","紀の川市","東国分字上川３５３番４０","","135.345000","34.267760","84000","84000","81500","78000","77000","75000","71000","68500","63800","59000","54100","49400","44700","42400","40100","38100","35800","33600","31500","30800","30000","28800","28100","27700","27400","27200","27000","135.345000000004","34.2677599999973","令和元年地価調査基準地"
"159","302082","紀の川(県)-5","地価調査","住宅","紀の川市","桃山町調月字北上ノ台８３２番３","","135.339700","34.227990","0","65000","65000","64400","63900","62400","60000","58500","56000","52800","48800","44800","41200","39000","37200","35500","33700","30500","29100","27000","25100","23700","22700","21700","20900","20500","20100","135.339700000006","34.227989999997","令和元年地価調査基準地"
"152","302082","紀の川(県)-6","地価調査","住宅","紀の川市","貴志川町長山字荒子谷２７７番７５８","","135.288450","34.210960","90000","90000","89500","85000","82500","79600","71700","66900","62900","58000","53700","49200","45000","42000","39000","36700","34600","31300","29900","29000","28100","27300","26600","26000","25500","25300","25100","135.288450000005","34.2109599999965","令和元年地価調査基準地"
"153","302082","紀の川(県)-7","地価調査","住宅","紀の川市","野上字八屋窪１０６番１外","","135.429100","34.290850","0","0","39000","38700","38500","38100","37400","36800","35500","34000","32000","29900","27800","27000","26000","24800","23100","21500","20200","18900","18000","17200","16500","15900","15600","15300","15100","135.429100000003","34.2908499999987","令和元年地価調査基準地"
"154","302082","紀の川(県)-8","地価調査","住宅","紀の川市","粉河字上打田１３７９番１６","","135.399010","34.273690","0","92000","91000","90000","89400","86000","78400","73800","69300","63800","58000","53000","47900","45200","43500","41800","39200","36500","34300","32600","31000","29800","28800","28000","27700","27400","27200","135.399010000004","34.2736899999971","令和元年地価調査基準地"
"155","302082","紀の川(県)-9","地価調査","住宅","紀の川市","上田井字レイ(ヨ＋大)佛５０１番５５","","135.387190","34.271980","66800","66800","66800","66500","66300","66000","62700","60000","56300","52400","48200","44200","40200","37800","36000","34400","32300","30300","28200","26700","25500","24500","24000","23700","23400","23100","22900","135.387190000003","34.2719800000004","令和元年地価調査基準地"
"156","302082","紀の川(県)-10","地価調査","住宅","紀の川市","名手西野字杉ノ森２７１番２","","135.434950","34.271260","59500","59500","59500","59000","58500","57700","53700","51500","48600","45500","41900","38600","35700","33700","32400","31000","29100","27200","25300","23600","22000","20900","20500","20000","19800","19600","19400","135.434950000007","34.2712599999958","令和元年地価調査基準地"
"160","302082","紀の川(県)-11","地価調査","住宅","紀の川市","桃山町段新田字安多良３１２番","","135.361540","34.246680","37200","37200","37200","37000","36900","36500","36000","35500","34500","33000","31000","29000","27100","25500","24500","23600","22600","21000","20200","19500","18600","18100","17700","17400","17100","16900","16600","135.361540000003","34.2466799999974","令和元年地価調査基準地"
